id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
N000182,1758,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000182.json,Randy,,Neugebauer,R,RandyNeugebauer,rep.randy.neugebauer,64137294987,http://randy.house.gov,http://randy.house.gov/rss.xml,randy.house.gov,6,TX,19,2.83,91.22
O000006,876,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000006.json,James,L.,Oberstar,D,JimOberstar,,,,,,34,MN,8,11.09,96.46
O000007,877,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000007.json,David,R.,Obey,D,,,,,,,40,WI,7,1.60,97.07
O000085,879,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000085.json,John,W.,Olver,D,,,,,,,18,MA,1,1.65,96.75
O000107,880,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000107.json,Solomon,P.,Ortiz,D,,,,,,,26,TX,27,14.51,96.26
P000034,887,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000034.json,Frank,,Pallone,D,FrankPallone,repfrankpallone,6517277731,http://pallone.house.gov/,http://pallone.house.gov/rss.xml,pallone.house.gov,22,NJ,6,1.87,97.12
P000096,1510,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000096.json,Bill,,"Pascrell Jr.",D,BillPascrell,pascrell,303312929155,http://pascrell.house.gov,http://www.house.gov/apps/list/press/nj08_pascrell/RSS.xml,pascrell.house.gov,12,NJ,8,3.36,96.80
P000099,893,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000099.json,Ed,,Pastor,D,PastorForAZ,,,http://www.pastor.house.gov/,http://www.pastor.house.gov/index.php?format=feed&type=rss,www.pastor.house.gov,18,AZ,4,2.51,96.61
P000149,902,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000149.json,Donald,M.,Payne,D,Payne10thNJ,,,http://payne.house.gov/,http://payne.house.gov/rss.xml,payne.house.gov,20,NJ,10,6.93,95.99
P000197,905,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000197.json,Nancy,,Pelosi,D,NancyPelosi,NancyPelosi,86574174383,http://pelosi.house.gov,http://pelosi.house.gov/atom.xml,pelosi.house.gov,22,CA,8,90.40,96.11
P000258,910,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000258.json,Collin,C.,Peterson,D,,,,http://collinpeterson.house.gov,http://collinpeterson.house.gov/rss.xml,collinpeterson.house.gov,18,MN,7,2.72,91.61
